ps0_FD;ps1_DD;ps2_LD;ps3_TD;ps4_TI;ps5_LI;ps6_DI;ps7_FI;Theta_Izq_rad;Theta_Der_rad;DeltaS_Izq_m;DeltaS_Der_m;AvanceLineal_m;GiroAngular_rad;VelLineal_ms;VelAngular_rads;timestamp_s
66.369486;68.286294;65.807384;68.604541;65.655814;69.008324;67.695805;69.06726;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;167.584
69.622282;68.835743;72.130216;63.458949;64.470679;62.372293;67.874565;65.264684;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;167.712
67.604435;74.590877;64.724841;61.900748;63.485201;65.094178;65.834478;65.195547;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;167.84
65.653368;63.991362;68.687652;72.581129;64.176494;74.301955;65.642451;65.708589;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;167.968
70.180108;69.508205;70.597348;69.846373;65.695708;68.120794;69.943441;66.734863;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;168.096
68.80701;71.163166;69.026426;71.113006;64.076452;68.499143;74.767815;63.794113;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;168.224
67.759452;72.273305;66.157853;64.457913;67.800417;65.273911;71.482682;73.598952;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;168.352
74.164621;74.062784;64.96285;68.426761;70.771339;61.317971;65.402586;72.559483;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;168.48
68.535318;68.069639;72.168253;69.499509;67.355288;71.094978;64.666141;67.079059;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;168.608
73.025011;70.301542;69.876344;73.083542;67.156387;69.17982;63.385703;64.05593;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;168.736
66.337029;64.47644;63.015845;69.303752;68.221861;63.080097;64.092401;69.463107;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;168.864
67.954453;71.562749;62.997999;73.336142;66.156869;71.15231;62.433622;69.339852;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;168.992
63.904691;70.937035;66.384333;65.076235;65.094891;65.990327;66.836562;62.766878;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;169.12
64.50329;76.454501;67.361012;68.831821;63.817938;67.447495;66.878592;62.381089;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;169.248
